AP,BAIRRO,LOGRADOURO,INÍCIO,FIM ,LADO,VAGAS,TEMPO DE PERMANÊNCIA,PERÍODO DE FUNCIONAMENTO,POSIÇÃO,LOCALIZAÇÃO,OBSERVAÇÃO,PORTARIA Nº
1.0,BENFICA,RUA SÃO LUIZ GONZAGA,RUA PREF.OLÍMPIO DE MELO,RUA COUTO DE MAGALHÃES,ÍMPAR,11,ROTATIVO 2H (dias/horários especiais),SÁB DAS 7H ÀS 19H,AO LONGO DA VIA,ENTRE OS Nº: 2201-2279,,28.009 D (DO 17/09/2004)
1.0,BENFICA,RUA SEN.BERNARDO MONTEIRO,RUA PREF.OLÍMPIO DE MELO,RUA COUTO DE MAGALHÃES,PAR,35,ROTATIVO 2H (dias/horários especiais),SÁB DAS 7H ÀS 19H,AO LONGO DA VIA,ENTRE OS Nº: 18-88,,28.009 D (DO 17/09/2004)
1.0,CAJU,RUA MONSENHOR  MANUEL GOMES,,,IMPAR,12,ROTATIVO 4H,"SEG A SEX DAS 7H ÀS 19H - SÁB, DOM E FERIADOS DAS 7H ÀS 13H",A 60 GRAUS DA VIA,"NA BAIA, LADO OPOSTO ENTRE O Nº:362 E O PORTÃO DE ACESSO AO CEM. SÃO FCO.XAVIER, SENTIDO CRESCENTE DE NUMERAÇÃO DA VIA",,34.968 (DO 22/08/2006)
1.0,CAJU,RUA MONSENHOR  MANUEL GOMES,,,IMPAR,26,ROTATIVO 4H,"SEG A SEX DAS 7H ÀS 19H - SÁB, DOM E FERIADOS DAS 7H ÀS 13H",A 60 GRAUS DA VIA,ENTRE OS Nº:348-354 (DO POSTE LIGHT 2888/145 AO 2888/153),,32.956 (DO 08/02/2006)
1.0,CENTRO,AV ALMIRANTE BARROSO,AV RIO BRANCO,RUA SENADOR DANTAS,ÍMPAR,5,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H - SÁB DAS 7H ÀS 13H,AO LONGO DA VIA,LADO OPOSTO Nº: 6 ,,28.009 D (DO 17/09/2004)
1.0,CENTRO,AV ALMIRANTE BARROSO,AV RIO BRANCO,RUA SENADOR DANTAS,ÍMPAR,11,ROTATIVO 4H,SEG A SEX DAS 7H ÀS 19H - SÁB DAS 7H ÀS 13H,AO LONGO DA VIA,JUNTO AO LGO DA CARIOCA,,28.009 D (DO 17/09/2004)
1.0,CENTRO,AV ALMIRANTE BARROSO,RUA MÉXICO,AV RIO BRANCO,DIREITO,10,ÚNICO (EM EVENTOS),EM EVENTOS,AO LONGO DA VIA,TODO O TRECHO,,28.009 D (DO 17/09/2004)
1.0,CENTRO,AV ALMIRANTE BARROSO,RUA MÉXICO,AV RIO BRANCO,ÍMPAR,10,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H,AO LONGO DA VIA,LADO OPOSTO Nº: 62,,28.009 D (DO 17/09/2004)
1.0,CENTRO,AV BEIRA MAR,AV CALÓGERAS,AV PRES. ANTÔNIO CARLOS,PAR,38,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H,AO LONGO DA VIA,ENTRE OS Nº:  454-406,,28.009 D (DO 17/09/2004)
1.0,CENTRO,AV BEIRA MAR,AV CALÓGERAS,AV PRES. ANTÔNIO CARLOS,CANTEIRO CENTRAL,17,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H,AO LONGO DA VIA,TODO O TRECHO,,28.009 D (DO 17/09/2004)
1.0,CENTRO,AV BEIRA MAR,AV PRES ANTÔNIO CARLOS,AV INF. DOM HENRIQUE,PAR,37,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H,AO LONGO DA VIA,TODO O TRECHO,,28.009 D (DO 17/09/2004)
1.0,CENTRO,AV BEIRA MAR,AV PRES ANTÔNIO CARLOS,AV CALÓGERAS,CANTEIRO CENTRAL,18,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H,AO LONGO DA VIA,TODO O TRECHO,,28.009 D (DO 17/09/2004)
1.0,CENTRO,AV BEIRA MAR,AV PRESIDENTE WILSON,AV CALÓGERAS,PAR,76,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H,AO LONGO DA VIA,TODO O TRECHO,,28.009 D (DO 17/09/2004)
1.0,CENTRO,AV BEIRA MAR,PÇA ITÁLIA,AV MARECHAL CÂMARA,PAR,20,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H,AO LONGO DA VIA,ENTRE OS Nº:  200-280,,28.009 D (DO 17/09/2004)
1.0,CENTRO,AV BEIRA MAR,EXTENSÃO DA AV.RIO BRANCO,ALÇA DE ACESSO DESTA PARA A AV.BEIRA MAR (SENTIDO ERA.ST.DUMONT),PAR,0,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H - SÁB DAS 7H ÀS 13H,AO LONGO DA VIA,E/F À PÇA. LOCALIZADA ENTRE A A EXTENSÃO DA AV.R.BCO E A ALÇA DE ACESSO DESTA PARA A AV.BEIRA MAR ( SENTIDO AEROPORTO S.DUMONT),a ser regulamentada conf Proc.nº03/070.020/06 - na Ges em 27/04/06,
1.0,CENTRO,AV BEIRA MAR,EXTENSÃO DA AV.RIO BRANCO,ALÇA DE ACESSO DESTA PARA A AV.BEIRA MAR (SENTIDO ERA.ST.DUMONT),IMPAR,0,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H - SÁB DAS 7H ÀS 13H,AO LONGO DA VIA,PISTA LADO IMPAR (LADO VOLTADO PARA O ATERRO DO FLAMENGO,a ser regulamentada conf Proc.nº03/070.020/06 - na Ges em 27/04/06,
1.0,CENTRO,AV BEIRA MAR,ALÇA DE ACESSO DA AV RIO BCO P/AV.BEIRA MAR (SENTIDO A. ST.DUMONT) ,RUA JOÃO NEVES DA FONTOURA,PAR,0,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H - SÁB DAS 7H ÀS 13H,AO LONGO DA VIA,JUNTO ÀS EDIFICAÇÕES,a ser regulamentada conf Proc.nº03/070.020/06 - na Ges em 27/04/06,
1.0,CENTRO,AV BEIRA MAR,ALÇA DE ACESSO DA AV RIO BCO P/AV.BEIRA MAR (SENTIDO A. ST.DUMONT) ,AV CALÓGERAS,PAR,0,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H - SÁB DAS 7H ÀS 13H,AO LONGO DA VIA,JUNTO AO CANTEIRO CENTRAL,a ser regulamentada conf Proc.nº03/070.020/06 - na Ges em 27/04/06,
1.0,CENTRO,AV BEIRA MAR,ALÇA DE ACESSO DA AV RIO BCO P/AV.BEIRA MAR (SENTIDO A. ST.DUMONT) ,AV CALÓGERAS,IMPAR,0,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H - SÁB DAS 7H ÀS 13H,AO LONGO DA VIA,JUNTO AO CANTEIRO CENTRAL,a ser regulamentada conf Proc.nº03/070.020/06 - na Ges em 27/04/06,
1.0,CENTRO,AV BEIRA MAR,PÇA. ITÁLIA,ALÇA DE ACESSO ORIUNDA DO TREVO DO ESTUDANTE EDSON LUÍS DE LIMA SOUTO,IMPAR,0,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H - SÁB DAS 7H ÀS 13H,AO LONGO DA VIA,JUNTO AO CANTEIRO CENTRAL,a ser regulamentada conf Proc.nº03/070.020/06 - na Ges em 27/04/06,
1.0,CENTRO,AV BEIRA MAR -RETORNO I,AV CALÓGERAS,AV PRES. ANTÔNIO CARLOS,DIREITO,41,ÚNICO,SEG A SEX DAS 7H ÀS 19H - SEG A SEX DAS 7H ÀS 19H,AO LONGO DA VIA,A 5M DA AV BEIRA MAR,RETORNO,28.009 D (DO 17/09/2004)
1.0,CENTRO,AV BEIRA MAR -RETORNO II,AV BEIRA MAR,AV INF. DOM HENRIQUE,DIREITO,38,ÚNICO,SEG A SEX DAS 7H ÀS 19H - SEG A SEX DAS 7H ÀS 19H,AO LONGO DA VIA,A 5M DA AV BEIRA MAR,RETORNO,28.009 D (DO 17/09/2004)
1.0,CENTRO,AV BEIRA MAR -RETORNO II,AV BEIRA MAR,AV INF. DOM HENRIQUE,DIREITO,9,ÚNICO,SEG A SEX DAS 7H ÀS 19H,AO LONGO DA VIA,A 5M DA AV BEIRA MAR,RETORNO,28.009 D (DO 17/09/2004)
1.0,CENTRO,AV CALÓGERAS,AV PRESIDENTE WILSON,AV BEIRA MAR,PAR,6,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H,AO LONGO DA VIA,E/F Nº:  6,,28.009 D (DO 17/09/2004)
1.0,CENTRO,AV CALÓGERAS,AV PRESIDENTE WILSON,AV BEIRA MAR,ÍMPAR,1,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H,AO LONGO DA VIA,E/F Nº:  5,,28.009 D (DO 17/09/2004)
1.0,CENTRO,AV CHURCHILL,AV PRES ANTÔNIO CARLOS,AV MARECHAL CÂMARA,PAR,10,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H-SEG A SEX DAS 7H ÀS 19H,AO LONGO DA VIA,ENTRE OS Nº:  10-192,,28.009 D (DO 17/09/2004)
1.0,CENTRO,AV CHURCHILL,AV PRES ANTÔNIO CARLOS,AV MARECHAL CÂMARA,CANTEIRO CENTRAL,3,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H,AO LONGO DA VIA,ENTRE OS Nº:  112B-94,,28.009 D (DO 17/09/2004)
1.0,CENTRO,AV CHURCHILL,AV PRES ANTÔNIO CARLOS,AV MARECHAL CÂMARA,CANTEIRO CENTRAL,12,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H,AO LONGO DA VIA,ENTRE OS Nº:  97-129,,28.009 D (DO 17/09/2004)
1.0,CENTRO,AV CHURCHILL,AV PRES ANTÔNIO CARLOS,AV MARECHAL CÂMARA,ÍMPAR,10,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H,AO LONGO DA VIA,ENTRE OS Nº:  125-97,,28.009 D (DO 17/09/2004)
1.0,CENTRO,AV CHURCHILL,AV PRES ANTÔNIO CARLOS,PÇA ANA AMÉLIA,ÍMPAR,15,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H,AO LONGO DA VIA,E/F Nº:  405,,28.009 D (DO 17/09/2004)
1.0,CENTRO,AV FRANKLIN ROOSEVELT,AV MAL CÂMARA,TR HELENO MÁRIO DE CASTRO,PAR,8,ROTATIVO 2H,"SEG A SEX DAS 7H ÀS 19H - SÁB, DOM E FERIADOS DAS 7H ÀS 13H",AO LONGO DA VIA,ENTRE OS Nº:  146-126,,28.009 D (DO 17/09/2004)
1.0,CENTRO,AV FRANKLIN ROOSEVELT,AV MAL CÂMARA,TR HELENO MÁRIO DE CASTRO,PAR,6,ROTATIVO 2H,"SEG A SEX DAS 7H ÀS 19H - SÁB, DOM E FERIADOS DAS 7H ÀS 13H",AO LONGO DA VIA,ENTRE OS Nº:  194-166,,28.009 D (DO 17/09/2004)
1.0,CENTRO,AV FRANKLIN ROOSEVELT,AV PRES ANTÔNIO CARLOS,TR HELENO MÁRIO DE CASTRO,PAR,5,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H,AO LONGO DA VIA,E/F Nº:  84,,28.009 D (DO 17/09/2004)
1.0,CENTRO,AV GOMES FREIRE,RUA DA CONSTITUIÇÃO,RUA VISC. DE RIO BRANCO,PAR,8,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H,AO LONGO DA VIA,E/F Nº:  52,,28.009 D (DO 17/09/2004)
1.0,CENTRO,AV GOMES FREIRE,RUA DA CONSTITUIÇÃO,RUA VISC. DE RIO BRANCO,ÍMPAR,14,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H,AO LONGO DA VIA,E/F Nº:  55,,28.009 D (DO 17/09/2004)
1.0,CENTRO,AV GOMES FREIRE,RUA DO RESENDE,RUA DA RELAÇÃO,IMPAR,20,ROTATIVO 2H,"SEG A SEX DAS 7H ÀS 19H - SÁB , DOM E FERIADOS DAS 7H ÀS 13H",AO LONGO DA VIA,entre os nº:607 - 491,,1.189 (DO 12/01/2007) 
1.0,CENTRO,AV GOMES FREIRE,RUA DO REZENDE,AV MEM DE SÁ,ÍMPAR,6,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H,AO LONGO DA VIA,ENTRE OS Nº:  625-669,,28.009 D (DO 17/09/2004)
1.0,CENTRO,AV GOMES FREIRE,RUA RIACHUELO,AV MEM DE SÁ,ÍMPAR,7,ROTATIVO 4H / ÚNICO,"ROTATIVO 4H DE SEG A SEX DAS 7H ÀS 19H E SÁB, DOM E FERIADOS DAS 7H ÀS 13H - ÚNICO DE QUI A SÁB DAS 19H ÀS 5H DO DIA SUBSEQÜENTE",AO LONGO DA VIA,ENTRE OS Nº:  803-813,,28.301 (DO 07/10/2004) - item 1 e 2
1.0,CENTRO,AV GOMES FREIRE,RUA RIACHUELO,AV MEM DE SÁ,ÍMPAR,3,ÚNICO (dias/horários especiais),QUI A SÁB DAS 19H ÀS 5H DO DIA SUBSEQÜENTE,AO LONGO DA VIA,ENTRE OS Nº:  779-791,,28.301 (DO 07/10/2004) - item 3
1.0,CENTRO,AV GOMES FREIRE,RUA RIACHUELO,AV MEM DE SÁ,ÍMPAR,5,ÚNICO (dias/horários especiais),QUI A SÁB DAS 19H ÀS 5H DO DIA SUBSEQÜENTE,AO LONGO DA VIA,ENTRE OS Nº:  745-763,,28.301 (DO 07/10/2004) - item 4
1.0,CENTRO,AV GOMES FREIRE,RUA RIACHUELO,AV MEM DE SÁ,PAR,12,ROTATIVO 4H / ÚNICO,ROTATIVO 4H DE SEG A SEX DAS 7H ÀS 19H E SÁB DAS 7H ÀS 13H - ÚNICO DE QUI A SÁB DAS 19H ÀS 5H DO DIA SUBSEQÜENTE,AO LONGO DA VIA,INÍCIO E/F À DIVISA DOS Nº:764 E 814,,28.301 (DO 07/10/2004) - item 5 e 6 e 33.588 -ART.2º- (DO 06/04/2006) e 2.303 -ART.3º- (DO 21/05/07)
1.0,CENTRO,AV GOMES FREIRE,RUA VISC. DE RIO BRANCO,RUA DO SENADO,ÍMPAR,16,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H,AO LONGO DA VIA,ENTRE OS Nº:  141-243,,28.009 D (DO 17/09/2004)
1.0,CENTRO,AV GRAÇA ARANHA,AV ALMIRANTE BARROSO,RUA ARAÚJO PORTO ALEGRE,ÍMPAR,4,ROTATIVO 2H / ÚNICO,ROTATIVO 2H DE SEG A SEX DAS 7H ÀS 19H - ÚNICO DE SEG A DOM DAS 19H ÀS 24H,AO LONGO DA VIA,E/F Nº: 145,,28.009 D (DO 17/09/2004)
1.0,CENTRO,AV GRAÇA ARANHA,AV ALMIRANTE BARROSO,RUA ARAÚJO PORTO ALEGRE,ÍMPAR,5,ROTATIVO 2H / ÚNICO,ROTATIVO 2H DE SEG A SEX DAS 7H ÀS 19H - ÚNICO DE SEG A DOM DAS 19H ÀS 24H,AO LONGO DA VIA,E/F Nº: 169,,28.009 D (DO 17/09/2004)
1.0,CENTRO,AV GRAÇA ARANHA,AV ALMIRANTE BARROSO,RUA ARAÚJO PORTO ALEGRE,ÍMPAR,7,ROTATIVO 2H / ÚNICO,ROTATIVO 2H DE SEG A SEX DAS 7H ÀS 19H - ÚNICO DE SEG A DOM DAS 19H ÀS 24H,AO LONGO DA VIA,E/F Nº: 187,,28.009 D (DO 17/09/2004)
1.0,CENTRO,AV GRAÇA ARANHA,RUA ANFILÓFIO DE CARVALHO,AV ALMIRANTE BARROSO,PAR,37,ROTATIVO 2H / ÚNICO,ROTATIVO 2H DE SEG A SEX DAS 7H ÀS 19H - ÚNICO DE SEG A DOM DAS 19H ÀS 24H,A 90 GRAUS DA VIA,ENTRE OS Nº:  226-174,,28.009 D (DO 17/09/2004)
1.0,CENTRO,AV GRAÇA ARANHA,RUA ARAÚJO PORTO ALEGRE,RUA SANTA LUZIA,PAR,73,ROTATIVO 2H / ÚNICO,ROTATIVO 2H DE SEG A SEX DAS 7H ÀS 19H - ÚNICO DE SEG A DOM DAS 19H ÀS 24H,A 90 GRAUS DA VIA,TODO O TRECHO,,28.009 D (DO 17/09/2004)
1.0,CENTRO,AV HENRIQUE VALADARES,PÇA CRUZ VERMELHA,RUA UBALDINO DO AMARAL,PAR,16,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H,AO LONGO DA VIA,E/F Nº:  12,,28.009 D (DO 17/09/2004)
1.0,CENTRO,AV HENRIQUE VALADARES,RUA DOS INVÁLIDOS,RUA UBALDINO DO AMARAL,PAR,28,ÚNICO,SEG A SEX DAS 7H ÀS 19H,AO LONGO DA VIA,TODO O TRECHO,,28.009 D (DO 17/09/2004)
1.0,CENTRO,AV MARECHAL CÂMARA,AV BEIRA MAR,PÇA VIRGÍLIO DE MELO FRANCO,IMPAR,15,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H - SÁB DAS 7H ÀS 13H,A 90 GRAUS DA VIA,JUNTO AO CANTEIRO CENTRAL,,428 (DO 17/10/2006) - ART 1º -
1.0,CENTRO,AV MARECHAL CÂMARA,TREVO DO ESTUDANTE,AV FRANKLIN ROOSEVELT,PAR,27,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H - SÁB DAS 7H ÀS 13H,A 90 GRAUS DA VIA,JUNTO AO CANTEIRO CENTRAL,,428 (DO 17/10/2006) - ART 2º -
1.0,CENTRO,AV MARECHAL CÂMARA,AV BEIRA MAR,AV GENERAL JUSTO,CANTEIRO CENTRAL /BAIAS,127,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H,A 90 GRAUS DA VIA,TODO O TRECHO - CANTEIRO CENTRAL / BAIAS,,28.009 D (DO 17/09/2004)
1.0,CENTRO,AV MARECHAL CÂMARA,AV FRANKLIN ROOSEVELT,AV CHURCHILL,AMBOS,26,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H,A 90 GRAUS DA VIA,TODO O TRECHO,,28.009 D (DO 17/09/2004)
1.0,CENTRO,AV MARECHAL FLORIANO,RUA ALEXANDRE MACKENZIE,RUA CAMERINO,PAR,10,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H - SÁB DAS 7H ÀS 13H,AO LONGO DA VIA,ENTRE OS Nº:  132-94,,28.009 D (DO 17/09/2004)
1.0,CENTRO,AV MEM DE SÁ,AV REPÚBLICA DO PARAGUAI,RUA DOS ARCOS,PAR,42,ÚNICO (dias/horários especiais),QUI A DOM E FERIADOS DAS 20H ÀS 5H,AO LONGO DA VIA,PÇA CARDEAL CÂMARA,,28.009 D (DO 17/09/2004)
1.0,CENTRO,AV MEM DE SÁ,RUA DO LAVRADIO,AV GOMES FREIRE,ÍMPAR,16,ÚNICO (dias/horários especiais),QUI A DOM E FERIADOS DAS 20H ÀS 5H,AO LONGO DA VIA,ENTRE OS Nº:  77-95,,28.009 D (DO 17/09/2004)
1.0,CENTRO,AV MEM DE SÁ,RUA EVARISTO DA VEIGA,TR DO MOSQUEIRA,ÍMPAR,18,ÚNICO (dias/horários especiais),QUI A DOM E FERIADOS DAS 20H ÀS 5H,AO LONGO DA VIA,ENTRE OS Nº:  41-17,,28.009 D (DO 17/09/2004)
1.0,CENTRO,AV MEM DE SÁ,RUA RIACHUELO,RUA DO LAVRADIO,ÍMPAR,10,ÚNICO (dias/horários especiais),QUI A DOM E FERIADOS DAS 20H ÀS 5H,AO LONGO DA VIA,ENTRE OS Nº:  59-71,,28.009 D (DO 17/09/2004)
1.0,CENTRO,AV NILO PEÇANHA,RUA DEBRET,AV PRES. ANTÔNIO CARLOS,ÍMPAR,11,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H,AO LONGO DA VIA,E/F Nº:  11,,28.009 D (DO 17/09/2004)
1.0,CENTRO,AV NOSSA SENHORA DE FÁTIMA,RUA DO RIACHUELO ,RUA DAS GRAÇAS,PAR,3,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H E SÁB DAS 7H ÀS 13H,AO LONGO DA VIA,E/F Nº:239 (R.RIACHUELO),,32.705 (DO 11/01/2006)
1.0,CENTRO,AV NOSSA SENHORA DE FÁTIMA,RUA DAS GRAÇAS,PRAÇA PRES.AGUIRRE CERDA,PAR,2,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H E SÁB DAS 7H ÀS 13H,AO LONGO DA VIA,E/F Nº:30,,32.705 (DO 11/01/2006)
1.0,CENTRO,AV NOSSA SENHORA DE FÁTIMA,RUA DAS GRAÇAS,PRAÇA PRES.AGUIRRE CERDA,IMPAR,2,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H E SÁB DAS 7H ÀS 13H,AO LONGO DA VIA,E/F Nº:47,,32.705 (DO 11/01/2006)
1.0,CENTRO,AV NOSSA SENHORA DE FÁTIMA,RUA DAS GRAÇAS,PRAÇA PRES.AGUIRRE CERDA,IMPAR,6,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H E SÁB DAS 7H ÀS 13H,AO LONGO DA VIA,E/F Nº:25,,32.705 (DO 11/01/2006)
1.0,CENTRO,AV PRES. ANTÔNIO CARLOS,AV ALMIRANTE BARROSO,RUA ARAÚJO PORTO ALEGRE,ÍMPAR,25,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H,A 90 GRAUS DA VIA,TODO O TRECHO,,28.009 D (DO 17/09/2004)
1.0,CENTRO,AV PRES. ANTÔNIO CARLOS,AV BEIRA MAR,AV PRESIDENTE WILSON,CANTEIRO CENTRAL,30,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H,AO LONGO DA VIA,BAIA,,28.009 D (DO 17/09/2004)
1.0,CENTRO,AV PRES. ANTÔNIO CARLOS,AV BEIRA MAR,AV PRESIDENTE WILSON,IMPAR,30,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H,A 90 GRAUS DA VIA,ENTRE OS Nº:25-51,,31.719 -item: III (DO 30/09/2005)
1.0,CENTRO,AV PRES. ANTÔNIO CARLOS,AV ALMIRANTE BARROSO,AV NILO PEÇANHA,IMPAR,6,ROTATIVO 2H,"SEG A SEX DAS 9H ÀS 16H - SÁB, DOM E FERIADOS DAS 7H ÀS 14H",AO LONGO DA VIA,E/F Nº:501,,34.270 (DO19/06/2006)
1.0,CENTRO,AV PRES. VARGAS,RUA PRIMEIRO DE MARÇO,RUA URUGUAIANA,AMBOS,100,ÚNICO (dias/horários especiais),SÁB DAS 7H ÀS 15H,A 45 GRAUS DA VIA,TODO O TRECHO,,28.009 D (DO 17/09/2004)
1.0,CENTRO,AV PRES. VARGAS,RUA URUGUAIANA,AV PASSOS,ÍMPAR,200,ÚNICO (dias/horários especiais),SÁB DAS 7H ÀS 15H,A 45 GRAUS DA VIA,TODO O TRECHO,,28.009 D (DO 17/09/2004)
1.0,CENTRO,AV PRESIDENTE WILSON,AV CALÓGERAS,RUA GENERAL MOLINA,PAR,7,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H,AO LONGO DA VIA,E/F Nº:  164,,28.009 D (DO 17/09/2004)
1.0,CENTRO,AV PRESIDENTE WILSON,AV PRES ANTÔNIO CARLOS,AV CALÓGERAS,PAR,15,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H,AO LONGO DA VIA,ENTRE OS Nº:  228-168,,28.009 D (DO 17/09/2004)
1.0,CENTRO,AV PRESIDENTE WILSON,RUA JOÃO NEVES DA FONTOURA, AV RIO BRANCO,PAR,9,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H,AO LONGO DA VIA,TODO O TRECHO,,28.009 D (DO 17/09/2004)
1.0,CENTRO,AV PRESIDENTE WILSON,RUA JOÃO NEVES DA FONTOURA,RUA GENERAL MOLINA,PAR,6,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H,AO LONGO DA VIA,E/F Nº:  118,,28.009 D (DO 17/09/2004)
1.0,CENTRO,AV REPÚBLICA DO CHILE,ACESSO CATEDRAL,ACESSO CATEDRAL,ÍMPAR,90,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H,AO LONGO DA VIA,TODO O TRECHO,,28.009 D (DO 17/09/2004)
1.0,CENTRO,AV REPÚBLICA DO CHILE,RUA LELIO GAMA,RUA SENADOR DANTAS,ÍMPAR,4,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H,AO LONGO DA VIA,TODO O TRECHO,,28.009 D (DO 17/09/2004)
1.0,CENTRO,AV REPÚBLICA DO PARAGUAI,RUA DO PASSEIO,RUA EVARISTO DA VEIGA,DIREITO,38,ÚNICO (EM EVENTOS),SEX E SÁB DAS 19H ÀS 5H DO DIA SUBSEQÜENTE (EM EVENTOS),AO LONGO DA VIA,TODO O TRECHO,,28.009 D (DO 17/09/2004)
1.0,CENTRO,AV REPÚBLICA DO PARAGUAI,RUA EVARISTO DA VEIGA,AV REPÚBLICA DO CHILE,AMBOS,36,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H,AO LONGO DA VIA,BAIAS,,28.009 D (DO 17/09/2004)
1.0,CENTRO,AV REPÚBLICA DO PARAGUAI,RUA EVARISTO DA VEIGA,RUA DA CARIOCA,AMBOS,285,ÚNICO (EM EVENTOS),SEX E SÁB DAS 19H ÀS 5H DO DIA SUBSEQÜENTE (EM EVENTOS),AO LONGO DA VIA,TODO O TRECHO - BOLSÃO,,28.009 D (DO 17/09/2004)
1.0,CENTRO,AV REPÚBLICA DO PARAGUAI,RUA EVARISTO DA VEIGA,AV MEM DE SÁ,DIREITO,14,ÚNICO (EM EVENTOS),SEX E SÁB DAS 19H ÀS 5H DO DIA SUBSEQÜENTE (EM EVENTOS),AO LONGO DA VIA,TODO O TRECHO - JUNTO À PÇA CARDEAL CÂMARA,,28.009 D (DO 17/09/2004)
1.0,CENTRO,AV RIO BRANCO,AV ALMIRANTE BARROSO,RUA HEITOR DE MELO,ÍMPAR,10,ÚNICO,SEG A DOM DAS 19H ÀS 24H,A 45 GRAUS DA VIA,E/F Nº:  193,,28.009 D (DO 17/09/2004)
1.0,CENTRO,AV RIO BRANCO,RUA ARAÚJO PORTO ALEGRE,RUA PEDRO LESSA,ÍMPAR,14,ÚNICO,SEG A DOM DAS 19H ÀS 24H,A 45 GRAUS DA VIA,E/F AO PRÉDIO DA BIBLIOTECA NACIONAL,,28.009 D (DO 17/09/2004)
1.0,CENTRO,AV RIO BRANCO,RUA DA ALFÂNDEGA,RUA DA ASSEMBLÉIA,AMBOS,223,ÚNICO (dias/horários especiais),SÁB DAS 7H ÀS 19H,A 45 GRAUS DA VIA,TODO O TRECHO,,28.009 D (DO 17/09/2004)
1.0,CENTRO,AV RIO BRANCO,RUA HEITOR DE MELO,RUA ARAÚJO PORTO ALEGRE,ÍMPAR,21,ÚNICO,SEG A DOM DAS 19H ÀS 24H,A 45 GRAUS DA VIA,E/F Nº:  199,,28.009 D (DO 17/09/2004)
1.0,CENTRO,AV RODRIGUES ALVES,RUA CORDEIRO DA GRAÇA,AV RIO DE JANEIRO,DIREITO,10,ROTATIVO 4H,"SEG A SEX DAS 7H ÀS 19H - SÁB, DOM E FERIADOS DAS 7H ÀS 13H",AO LONGO DA VIA,"20,00m após o Armazem 18 até a ponte sobre o Canal do Mangue, junto ao porto ",,29.611 (DO 14/02/2005)
1.0,CENTRO,AV TREZE DE MAIO,AV ALMIRANTE BARROSO,RUA EVARISTO DA VEIGA,PAR,12,ROTATIVO 2H / ÚNICO,ROTATIVO 2H DE SEG A SEX DAS 7H ÀS 19H - ÚNICO DE SEG A DOM DAS 19H ÀS 24H,AO LONGO DA VIA,ENTRE OS Nº:  46-36,,28.009 D (DO 17/09/2004)
