AP,BAIRRO,LOGRADOURO,INÍCIO,FIM ,LADO,VAGAS,TEMPO DE PERMANÊNCIA,PERÍODO DE FUNCIONAMENTO,POSIÇÃO,LOCALIZAÇÃO,OBSERVAÇÃO,PORTARIA Nº
4.0,BARRA DA TIJUCA,RUA NOEL NUTELS,AV DO PEPÊ,AV CMTE JÚLIO DE MOURA,IMPAR,18,ÚNICO,"SÁB, DOM E FERIADOS DAS 7H ÀS 19H",AO LONGO DA VIA,"A 12 METROS DO ALINHAMENTO DO M.FIO DA AV.PEPÊ, NO SENTIDO DA AV.CMTE.JÚLIO DE MOURA",,31.316 (DO 22 E 24/08/2005)
4.0,BARRA DA TIJUCA,RUA SHUBERT MAGALHÃES,AV DAS AMÉRICAS,RUA GILDASIO AMADO,ESQUERDO,3,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H - SÁB DAS 7H ÀS 13H,AO LONGO DA VIA,A PARTIR DE 5 M DO MEIO-FIO DA RUA TRANSVERSAL,,28.015 (DO 17/09/2004)
4.0,BARRA DA TIJUCA,RUA SHUBERT MAGALHÃES,RUA GILDASIO AMADO,AV DAS AMÉRICAS,DIREITO,3,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H - SÁB DAS 7H ÀS 13H,AO LONGO DA VIA,"A PARTIR DE 5 M DO MEIO-FIO DA RUA TRANSVERSAL, SENTIDO DE FLUXO ",,28.015 (DO 17/09/2004)
4.0,BARRA DA TIJUCA,RUA SILVIO BORGES,RUA GILDASIO AMADO,AV DAS AMÉRICAS,DIREITO,3,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H - SÁB DAS 7H ÀS 13H,AO LONGO DA VIA,"A PARTIR DE 5 M DO MEIO-FIO DA RUA TRANSVERSAL, SENTIDO DE FLUXO ",,28.015 (DO 17/09/2004)
4.0,BARRA DA TIJUCA,VIA PARQUE LAGOA DA TIJUCA,,AV AYRTON SENNA,CANTEIRO CENTRAL,350,ÚNICO (EM EVENTOS),EM EVENTOS,AO LONGO DA VIA,"E/F ACESSO À ""TERRA ENCANTADA""",EM DIAS E HORÁRIOS PRÉ-DETERMINADOS,28.015 (DO 17/09/2004)
4.0,BARRA DA TIJUCA,VIA PARQUE LAGOA DA TIJUCA,,AV AYRTON SENNA,CANTEIRO CENTRAL,350,ÚNICO (EM EVENTOS),EM EVENTOS,AO LONGO DA VIA,"ENTRE O MURO DO ""TERRA ENCANTADA"" E O SHOPPING ""VIA PARQUE""",EM DIAS E HORÁRIOS PRÉ-DETERMINADOS,28.015 (DO 17/09/2004)
4.0,FREGUESIA,AV GEREMÁRIO DANTAS,LADEIRA DA FREGUESIA,PRAÇA PROF.CAMISÃO,PAR,9,ÚNICO,EM HORÁRIOS ESPECIAIS ,A 60 GRAUS DA VIA,E/F AO Nº:1.400,,32.965 (DO 09/02/2006)
4.0,FREGUESIA,ESTR DE JACARAPAGUÁ,PÇA PROF.CAMISÃO,RUA TIROL,PAR,27,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H - SÁB DAS 7H ÀS 13H,A 90 GRAUS DA VIA,A PARTIR DO 7930 NO SENTIDO DE FLUXO,,28.015 (DO 17/09/2004)
4.0,FREGUESIA,ESTR DE JACARAPAGUÁ,PÇA PROF.CAMISÃO,RUA TIROL,PAR,8,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H - SÁB DAS 7H ÀS 13H,A 90 GRAUS DA VIA,E/F Nº: 7818,,28.015 (DO 17/09/2004)
4.0,FREGUESIA,ESTR DE JACARAPAGUÁ,RUA TIROL,RUA DOM JUVENCIO DE BRITO,CANTEIRO CENTRAL,8,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H - SÁB DAS 7H ÀS 13H,A 60 GRAUS DA VIA,CANTEIRO CENTRAL,,28.015 (DO 17/09/2004)
4.0,GRUMARI,AV ESTADO DA GUANABARA,ESTR DO PONTAL,ESTR DE GRUMARI,AMBOS,407,ÚNICO,SEG A SEX DAS 7H ÀS 19H - SÁB DAS 7H ÀS 13H,"AO LONGO, A 45 E A 90 GRAUS DA VIA",BAIAS / BOLSÕES,,28.015 (DO 17/09/2004)
4.0,GRUMARI,AV ESTADO DA GUANABARA,ESTR DO PONTAL,ESTR DE GRUMARI,PAR,131,ÚNICO,SEG A SEX DAS 7H ÀS 19H - SÁB DAS 7H ÀS 13H,A 45 GRAUS DA VIA,BOLSÃO,,28.015 (DO 17/09/2004)
4.0,PRAÇA SECA,PRAÇA BARÃO DA TAQUARA(P.SECA),RUA BARONESA,RUA BARÃO,IMPAR,55,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H - SÁB DAS 7H ÀS 13H,A 45 GRAUS DA VIA,LADO OPOSTO AO Nº:30,,28.015 (DO 17/09/2004) E 32.805 (DO 24/01/2006) - ART.2º-
4.0,PRAÇA SECA,RUA CÂNDIDO BENÍCIO,RUA BARONESA,BEC MARIO PEREIRA,PAR,37,ROTATIVO 2H,SEG A SEX DAS 7H ÀS 19H - SÁB DAS 7H ÀS 13H,A 90 GRAUS DA VIA,E/F Nº: 1600,,28.015 (DO 17/09/2004)
4.0,PECHINCHA,ESTRADA DO CAPENHA,AV. GEREMÁRIO DANTAS,RUA OLÍMPIA,ESQUERDO,30,ROTATIVO 2H,"SEG A SEX DAS 7H ÀS 19H - SÁB, DOM E FERIADOS DAS 7H ÀS 13H",AO LONGO DA VIA,"INÍCIO A 7,00M DA AV.G.DANTAS",,2.382 ( DO 30/05/2007)
4.0,RECREIO DOS BANDEIRANTES,AV LÚCIO COSTA,AV ALBERT SABIN,RUA HÉLIO DE BRITO,PAR,45,ÚNICO,SEG A DOM DAS 7H ÀS 19H,A 90 GRAUS DA VIA,BAIA JUNTO AO Nº: 17526,,28.015 (DO 17/09/2004)
4.0,RECREIO DOS BANDEIRANTES,AV LÚCIO COSTA,AV ALBERT SABIN,RUA HÉLIO DE BRITO,CANTEIRO CENTRAL,8,ÚNICO,SEG A DOM DAS 7H ÀS 19H,A 90 GRAUS DA VIA,BAIA NO CANTEIRO CENTRAL,,28.015 (DO 17/09/2004)
4.0,RECREIO DOS BANDEIRANTES,AV LÚCIO COSTA,AV GILKA MACHADO,AV ARMANDO RIBEIRO,ORLA,76,ÚNICO,SEG A DOM DAS 7H ÀS 19H,A 90 GRAUS DA VIA,"BAIA - NA PROJ. DA PÇA TIM MAIA, JUNTO À PISTA DE ROLAMENTO, SENTIDO GRUMARI/BARRA DA TIJUCA",,28.015 (DO 17/09/2004)
4.0,RECREIO DOS BANDEIRANTES,AV LÚCIO COSTA,AV GILKA MACHADO,AV ARMANDO RIBEIRO,ORLA,81,ÚNICO,SEG A DOM DAS 7H ÀS 19H,A 90 GRAUS DA VIA,"NA PROJ DA PRAÇA TIM MAIA, A 9 M DO INÍCIO DA BAIA JUNTO À PRAÇA",,28.015 (DO 17/09/2004)
4.0,RECREIO DOS BANDEIRANTES,AV LÚCIO COSTA,AV GLAUCIO GIL,RUA MAL OLYMPIO FALCONIERE,CANTEIRO CENTRAL,107,ÚNICO,SEG A DOM DAS 7H ÀS 19H,A 90 GRAUS DA VIA,BAIA NO CANTEIRO CENTRAL,,28.015 (DO 17/09/2004)
4.0,RECREIO DOS BANDEIRANTES,AV LÚCIO COSTA,AV PEDRO MOURA,RUA DAS ACONTECENCIAS,PAR,11,ÚNICO,SEG A DOM DAS 7H ÀS 19H,A 90 GRAUS DA VIA,BAIA JUNTO AO Nº: 15000,,28.015 (DO 17/09/2004)
4.0,RECREIO DOS BANDEIRANTES,AV LÚCIO COSTA,RUA CARLOTA MACEDO SOARES,RUA MAL OLYMPIO FALCONIERE,PAR,77,ÚNICO,SEG A DOM DAS 7H ÀS 19H,A 90 GRAUS DA VIA,BAIA JUNTO AO Nº: 16560,,28.015 (DO 17/09/2004)
4.0,RECREIO DOS BANDEIRANTES,AV LÚCIO COSTA,RUA DAS ACONTECÊNCIAS,RUA GOVERN RAUL VEIGA,PAR,54,ÚNICO,SEG A DOM DAS 7H ÀS 19H,A 90 GRAUS DA VIA,BAIA JUNTO AO Nº: 15700,,28.015 (DO 17/09/2004)
4.0,RECREIO DOS BANDEIRANTES,AV LÚCIO COSTA,RUA DAS ACONTECÊNCIAS,RUA GOVERN RAUL VEIGA,CANTEIRO CENTRAL,88,ÚNICO,SEG A DOM DAS 7H ÀS 19H,A 90 GRAUS DA VIA,BAIA NO CANTEIRO CENTRAL,,28.015 (DO 17/09/2004)
4.0,RECREIO DOS BANDEIRANTES,AV LÚCIO COSTA,RUA DESEMB OSCAR TENÓRIO,RUA NEWTON FONTOURA REIS,PAR,78,ÚNICO,SEG A DOM DAS 7H ÀS 19H,A 90 GRAUS DA VIA,BAIA JUNTO AO Nº: 17470,,28.015 (DO 17/09/2004)
4.0,RECREIO DOS BANDEIRANTES,AV LÚCIO COSTA,RUA DESEMB OSCAR TENÓRIO,RUA NEWTON FONTOURA REIS,CANTEIRO CENTRAL,130,ÚNICO,SEG A DOM DAS 7H ÀS 19H,A 90 GRAUS DA VIA,BAIA NO CANTEIRO CENTRAL,,28.015 (DO 17/09/2004)
4.0,RECREIO DOS BANDEIRANTES,AV LÚCIO COSTA,RUA EDUARDO PEDERNEIRAS,RUA DES OSCAR TENORIO,PAR,83,ÚNICO,SEG A DOM DAS 7H ÀS 19H,A 90 GRAUS DA VIA,BAIA JUNTO AO Nº: 17194,,28.015 (DO 17/09/2004)
4.0,RECREIO DOS BANDEIRANTES,AV LÚCIO COSTA,RUA EDUARDO PEDERNEIRAS,RUA DES OSCAR TENORIO,CANTEIRO CENTRAL,79,ÚNICO,SEG A DOM DAS 7H ÀS 19H,A 90 GRAUS DA VIA,BAIA NO CANTEIRO CENTRAL,,28.015 (DO 17/09/2004)
4.0,RECREIO DOS BANDEIRANTES,AV LÚCIO COSTA,RUA GOVERN RAUL VEIGA,RUA RAUL AMARO NIM FERREIRA,PAR,74,ÚNICO,SEG A DOM DAS 7H ÀS 19H,A 90 GRAUS DA VIA,BAIA JUNTO AO Nº: 15870,,28.015 (DO 17/09/2004)
